Hawaii,1.04999995231628
California,1.00999999046326
Washington,0.970000028610229
Nevada,0.939999997615814
Oregon,0.879999995231628
Kentucky,0.879999995231628
Alaska,0.860000014305115
Utah,0.860000014305115
Colorado,0.839999973773956
Illinois,0.839999973773956
New York,0.839999973773956
Massachusetts,0.839999973773956
Connecticut,0.839999973773956
Pennsylvania,0.839999973773956
New Jersey,0.819999992847443
New Hampshire,0.819999992847443
Michigan,0.819999992847443
Idaho,0.819999992847443
Montana,0.800000011920929
Maine,0.800000011920929
Maryland,0.800000011920929
Delaware,0.800000011920929
Virginia,0.800000011920929
Wisconsin,0.800000011920929
Rhode Island,0.800000011920929
Vermont,0.800000011920929
Florida,0.800000011920929
West Virginia,0.800000011920929
Georgia,0.779999971389771
North Carolina,0.779999971389771
Ohio,0.779999971389771
Indiana,0.779999971389771
Arizona,0.779999971389771
New Mexico,0.759999990463257
Wyoming,0.759999990463257
South Carolina,0.759999990463257
North Dakota,0.759999990463257
South Dakota,0.759999990463257
Nebraska,0.759999990463257
Arkansas,0.759999990463257
Louisiana,0.759999990463257
Texas,0.759999990463257
Alabama,0.759999990463257
Tennessee,0.759999990463257
Mississippi,0.740000009536743
Missouri,0.740000009536743
Iowa,0.730000019073486
Oklahoma,0.699999988079071
Kansas,0.689999997615814
Minnesota,0.680000007152557
